id,unit,name,start,end,agency,acres,cause,start_year,duration,map_date
FKU-5607,Fresno,Tivy,2002-05-09,2002-05-10,CDF,680,Elec. Power,2002,2,2000-05-09
FKU-5607,Fresno,Tivy,2002-05-09,2002-05-10,CDF,680,Elec. Power,2002,2,2000-05-09
ANF-1534,Angeles NF,Bouquet,2002-05-11,2002-05-13,USFS,4977,Undetermined,2002,3,2000-05-11
ANF-1534,Angeles NF,Bouquet,2002-05-11,2002-05-13,USFS,4977,Undetermined,2002,3,2000-05-11
CNF-795,Cleveland NF,Mateo,2002-05-13,2002-05-13,USFS,1500,Undetermined,2002,1,2000-05-13
CNF-795,Cleveland NF,Mateo,2002-05-13,2002-05-13,USFS,1500,Undetermined,2002,1,2000-05-13
RRU-35797,Riverside/Orange Co.,State 925 (Antonio),2002-05-13,2002-05-15,CDF,1472,Undetermined,2002,3,2000-05-13
RRU-35797,Riverside/Orange Co.,State 925 (Antonio),2002-05-13,2002-05-15,CDF,1472,Undetermined,2002,3,2000-05-13
MMU-8182,Merced,Ahlem,2002-05-23,2002-05-23,LOCAL,6000,Undetermined,2002,1,2000-05-23
MMU-8182,Merced,Ahlem,2002-05-23,2002-05-23,LOCAL,6000,Undetermined,2002,1,2000-05-23
BDU-4432,Los Angeles,Shannon,2002-05-23,2002-05-23,CC,356,Undetermined,2002,1,2000-05-23
BDU-4432,Los Angeles,Shannon,2002-05-23,2002-05-23,CC,356,Undetermined,2002,1,2000-05-23
BDU-4700,San Bernardino NF,Arrowhead,2002-05-31,2002-06-05,USFS,2688,Under Invest.,2002,6,2000-05-31
BDU-4700,San Bernardino NF,Arrowhead,2002-05-31,2002-06-05,USFS,2688,Under Invest.,2002,6,2000-05-31
LPF-869,Ventura (Las Padres,Wolf,2002-06-01,2002-06-14,USFS,21645,Under Invest.,2002,14,2000-06-01
LPF-869,Ventura (Las Padres,Wolf,2002-06-01,2002-06-14,USFS,21645,Under Invest.,2002,14,2000-06-01
SQF- 1009,Sequoia NF,Rocky(will do),2002-06-02,2002-06-04,USFS,498,Under Invest.,2002,3,2000-06-02
SQF- 1009,Sequoia NF,Rocky(will do),2002-06-02,2002-06-04,USFS,498,Under Invest.,2002,3,2000-06-02
RRU-40281,BDF Riverside,Bee,2002-06-02,2002-06-02,USFS,432,Under Invest.,2002,1,2000-06-02
RRU-40281,BDF Riverside,Bee,2002-06-02,2002-06-02,USFS,432,Under Invest.,2002,1,2000-06-02
